text,label
The Reserve Bank maintained the repo rate at 3.8 percent citing stable inflation.,1
Government insider LEAKED documents proving chemtrails! Exposed share now!,0
Research published in Nature found that significant genetic markers could transform renewable energy.,1
Exports rose by 23 percent in the last quarter driven by IT and pharmaceutical sectors.,1
You WON'T BELIEVE what the health minister said about privacy rights! The truth will SHOCK you!,0
The transport ministry approved highway expansion connecting Connaught Place and Thane.,1
Did you know? lemon juice mixed with honey can cure cancer in just 3 days! Exposed!,0
Exposed exposed! a famous celebrity secretly owns 200 properties worth 800 million dollars crores!,0
Municipal authorities completed the new water treatment facility serving 85 households.,1
Research published in Nature found that significant genetic markers could transform renewable energy.,1
SHARE IMMEDIATELY: a major bank is planning to install tracking chips starting this Friday! Wake up people!,0
The telecom regulator issued new guidelines for data privacy and consumer protection.,1
ALERT: Scientists CONFIRM that garlic paste causes diabetes! Big pharma doesn't want you to know!,0
Exports rose by 12 percent in the last quarter driven by IT and pharmaceutical sectors.,1
EXPOSED AND DESTROYED: a top leader caught lying about privacy rights! Career is OVER!,0
Secret meeting between a top politician and a controversial figure EXPOSED! NWO agenda revealed!,0
The agriculture ministry reported a record harvest of rice this season.,1
SHARE IMMEDIATELY: the WHO is planning to ban all cash starting this Friday! Wake up people!,0
The Supreme Court ruled in favor of the petitioner in the landmark labor regulations case after months of deliberation.,1
URGENT: Forward this to everyone! a major earthquake is going to happen on this Friday and nobody is talking about it!,0
Municipal authorities completed the new water treatment facility serving 12 households.,1
Secret meeting between a top politician and a foreign agent EXPOSED! NWO agenda revealed!,0
Unemployment figures showed a marginal improvement dropping to 7.0 percent in urban areas.,1
100% TRUE: My friend who works at a government lab confirmed that flat earth is happening right now!,0
The stock market closed higher as investors reacted to quarterly earnings reports.,1
Research published in Nature found that a new treatment pathway could transform renewable energy.,1
You WON'T BELIEVE what a top leader said about labor regulations! The truth will SHOCK you!,0
Municipal authorities completed the new water treatment facility serving 85 households.,1
This photo PROVES that a major earthquake was STAGED! Look carefully at the the reflection!,0
Municipal authorities completed the new water treatment facility serving 37 households.,1
A new metro line connecting Koramangala to Howrah was inaugurated reducing commute time significantly.,1
